remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:08:27 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TAG,,HMI_STOP_PLANT,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_TMP_HIGH,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_UF_FILTRATION_MIN,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_UF_FILTRATION_MIN_SP,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_UF_REFILL_SEC,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_UF_REFILL_SEC_SP,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,HMI_WIFI,"","WIFI_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,LIT301_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Logix_Status,"","Logix_Status_FP","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MIN_TEST,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,MV301_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV302_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV303_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,MV304_FB,"","MV_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P2_P2078_AUTOINP,"","AUTOINP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P301_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P302_FB,"","PMP_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P6_P602_AUTOINP,"","AUTOINP_UDT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,PSH301_FB,"","SWITCH_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,P_UF_FEED_DUTY_FB,"","Duty2_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,REDUNDANT_STATUS,"","RED_STAT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,RTRIG_MIN,"","FBD_ONESHOT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,R_TRIG,"","FBD_ONESHOT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,R_TRIG_BW,"","FBD_ONESHOT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,SEC_TEST,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,TON,"","FBD_TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TON_FIT301_P1_TM,"","FBD_TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TON_FIT301_P2_TM,"","FBD_TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TON_FIT302_TM,"","FBD_TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TON_MIN,"","FBD_TIMER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_DPIT_301_DPRESS,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_DPIT_301_DPRESS_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_301_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_301_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_LIT_301_LEVEL,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_LIT_301_LEVEL_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_RIO3_SPARE_03,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_RIO3_SPARE_03_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_FIT301_Tot_Enb,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_LAST_STATE,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_MIN_P,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_MV301_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_MV302_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_MV303_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_MV304_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_NEXT,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_ON_ENTRY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_P301_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_P302_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_P602_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_P_NAOCL_UF_DUTY_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_P_UF_FEED_DUTY_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_SEC_P,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Memory_Message,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Generic, RequestedLength := 12, ConnectedFlag := 2, ConnectionPath := ""1, 0"", CommTypeCode := 0, ServiceCode := 16#0003, ObjectType := 16#0072, TargetObject := 1, AttributeNumber := 16#0000, LocalIndex := 0, LocalElement := ""Logix_Status.MemoryRequestData[0]"", DestinationTag := ""Logix_Status.MemoryTemp[0]"", LargePacketUsage := false)"
TAG,,P2_P2078_CMD_MSG,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Data Table Write, RemoteElement := ""P2_P2078_AUTOINP"", RequestedLength := 1, ConnectedFlag := 1, ConnectionPath := ""P2_CONTROLLER"", CommTypeCode := 0, LocalIndex := 0, LocalElement := ""P2_P2078_AUTOINP"", CacheConnections := ""TRUE"")"
TAG,,P2_P2078_MSG,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Data Table Read, RemoteElement := ""HMI_P_NAOCL_UF_DUTY"", RequestedLength := 1, ConnectedFlag := 1, ConnectionPath := ""P2_CONTROLLER"", CommTypeCode := 0, LocalIndex := 0, LocalElement := ""HMI_P_NAOCL_UF_DUTY"", CacheConnections := ""TRUE"")"
TAG,,P4_LIT401_MSG,"","MESSAGE","","(ExternalAccess := Read/Write, MessageType := CIP Data Table Read, RemoteElement := ""HMI_LIT401"", RequestedLength := 1, ConnectedFlag := 1, ConnectionPath := ""P4_CONTROLLER"", CommTypeCode := 0, LocalIndex := 0, LocalElement := ""HMI_LIT401"", CacheConnections := ""TRUE"")"
